查询序号,主题词,卡片名,命中结果数,最高分,一级主题,对应主题页,主题页路径,置信度,匹配分,匹配依据,相近主题词,相近卡片,备选主题页,命中词,主要书名,页码,是否有结果,处理建议,Claude检索建议,是否新增主题
997,名家 起源 辩者,0997_名家_起源_辩者.md,2,31.73,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,8.0,二级自动主题组匹配：名家,名家 辩者 名实(26.25)；儒家 起源 士(17.14)；道家 起源 隐者(16.25)；墨家 起源 武士(16.25)；阴阳家 起源 方士(15.56),1004_名家_辩者_名实.md；0699_儒家_起源_士.md；0700_道家_起源_隐者.md；0996_墨家_起源_武士.md；0998_阴阳家_起源_方士.md,,名家、辩者、起源,中国哲学简史；近五十年中国思想史,96-100；197-200,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：名家|起源|辩者,否
998,阴阳家 起源 方士,0998_阴阳家_起源_方士.md,2,32.6,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,8.0,二级自动主题组匹配：阴阳家,阴阳家 五行 历史哲学(19.17)；儒家 起源 士(16.25)；道家 起源 隐者(15.56)；墨家 起源 武士(15.56)；名家 起源 辩者(15.56),1005_阴阳家_五行_历史哲学.md；0699_儒家_起源_士.md；0700_道家_起源_隐者.md；0996_墨家_起源_武士.md；0997_名家_起源_辩者.md,,阴阳家、起源、方士,中国哲学简史；近五十年中国思想史,155-157；165-168,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：阴阳家|起源|方士,否
999,法家 起源 法术之士,0999_法家_起源_法术之士.md,3,31.97,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,8.0,二级自动主题组匹配：法家,儒家 起源 士(15.56)；道家 起源 隐者(15.0)；墨家 起源 武士(15.0)；名家 起源 辩者(15.0)；阴阳家 起源 方士(14.55),0699_儒家_起源_士.md；0700_道家_起源_隐者.md；0996_墨家_起源_武士.md；0997_名家_起源_辩者.md；0998_阴阳家_起源_方士.md,,法家、法术之士、起源,中国哲学简史；近五十年中国思想史；中国文化与马克思主义,183-185；165-168；378,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：法家|起源|法术之士,否
1000,孔子 正名 仁义,1000_孔子_正名_仁义.md,3,37.93,中国哲学传统,中国哲学传统与现代转型,中国哲学传统/中国哲学传统与现代转型.md,低,10.0,自动主题组匹配：孔子,孔子 忠恕 知命(12.78)；正名 名实 政治秩序(12.27)；老子 孔子 王船山 哲学讨论(11.79),1001_孔子_忠恕_知命.md；1008_正名_名实_政治秩序.md；1368_老子_孔子_王船山_哲学讨论.md,,孔子、正名、仁义,中国哲学简史；文化契合、文化融合与文化重构——对马克思主义中国化的文化思考_张琳；中国文化与马克思主义,51；3；310,是,先核验原卡片再使用,先查主题页《中国哲学传统与现代转型》，再在 T3/T10 中检索：孔子|正名|仁义,否
1001,孔子 忠恕 知命,1001_孔子_忠恕_知命.md,3,33.17,中国哲学传统,中国哲学传统与现代转型,中国哲学传统/中国哲学传统与现代转型.md,低,10.0,自动主题组匹配：孔子,孔子 正名 仁义(12.78)；中国哲学 知命 能动性(12.08)；老子 孔子 王船山 哲学讨论(11.79),1000_孔子_正名_仁义.md；0706_中国哲学_知命_能动性.md；1368_老子_孔子_王船山_哲学讨论.md,,孔子、知命、忠恕,中国哲学简史；马克思主义哲学史；中国文化与马克思主义,54-56；279-281；343,是,先核验原卡片再使用,先查主题页《中国哲学传统与现代转型》，再在 T3/T10 中检索：孔子|忠恕|知命,否
1002,墨子 兼爱 天志 明鬼,1002_墨子_兼爱_天志_明鬼.md,3,48.8,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,8.0,二级自动主题组匹配：墨子,兼爱 平等 社会理想(11.92),1009_兼爱_平等_社会理想.md,,墨子、兼爱、天志、明鬼,中国哲学简史；近五十年中国思想史；中国近代思想史论,67-68；165-168；194,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：墨子|兼爱|天志|明鬼,否
1003,孟子 性善 政治哲学,1003_孟子_性善_政治哲学.md,3,43.94,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,16.0,二级自动主题组匹配：孟子、性善,,,,孟子、性善、政治哲学,马克思主义中国化探论；中国哲学简史；马克思主义哲学史教程,44；83-85；827-828,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：孟子|性善|政治哲学,否
1004,名家 辩者 名实,1004_名家_辩者_名实.md,3,34.6,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,16.0,二级自动主题组匹配：名家、名实,名家 起源 辩者(26.25)；正名 名实 政治秩序(12.27),0997_名家_起源_辩者.md；1008_正名_名实_政治秩序.md,,名家、辩者、名实,中国哲学简史；“新理学”批判的批判；认识世界和认识自己,96-100；174；212,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：名家|辩者|名实,否
1005,阴阳家 五行 历史哲学,1005_阴阳家_五行_历史哲学.md,2,37.0,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,16.0,二级自动主题组匹配：阴阳家、五行,阴阳家 起源 方士(19.17)；历史哲学教程 唯物史观(5.36),0998_阴阳家_起源_方士.md；0031_历史哲学教程_唯物史观.md,,阴阳家、五行、历史哲学,中国哲学简史；中国文化与马克思主义,162-164；105,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：阴阳家|五行|历史哲学,否
1006,庄子 自由 平等 齐物,1006_庄子_自由_平等_齐物.md,3,34.0,论战与思想运动,中国近代启蒙与民主革命,论战与思想运动/中国近代启蒙与民主革命.md,中,20.0,自动主题组匹配：自由、平等,自由 平等 抗日(18.33)；九一八 自由 平等 战(16.82)；兼爱 平等 社会理想(11.92),0955_自由_平等_抗日.md；0956_九一八_自由_平等_战.md；1009_兼爱_平等_社会理想.md,,自由、平等、庄子,马克思主义哲学史；胡绳全书.第7卷；中国哲学简史,287；242-243；125-127,是,可按主题页优先检索,先查主题页《中国近代启蒙与民主革命》，再在 T3/T10 中检索：庄子|自由|平等|齐物,否
1007,荀子 性恶 礼法,1007_荀子_性恶_礼法.md,3,32.7,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,16.0,二级自动主题组匹配：荀子、性恶,,,,荀子、性恶、礼法,中国哲学简史；中国文化与马克思主义；冯契文集第七卷中国近代哲学的革命进程,172-173；52；60,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：荀子|性恶|礼法,否
1008,正名 名实 政治秩序,1008_正名_名实_政治秩序.md,3,33.19,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,16.0,二级自动主题组匹配：正名、名实,孔子 正名 仁义(12.27)；名家 辩者 名实(12.27),1000_孔子_正名_仁义.md；1004_名家_辩者_名实.md,,正名、名实,中国哲学简史；“新理学”批判的批判；认识世界和认识自己,51；174；157,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：正名|名实|政治秩序,否
1009,兼爱 平等 社会理想,1009_兼爱_平等_社会理想.md,3,35.24,论战与思想运动,中国近代启蒙与民主革命,论战与思想运动/中国近代启蒙与民主革命.md,低,10.0,自动主题组匹配：平等,大同 小康 社会理想(26.82)；自由 平等 抗日(12.27)；九一八 自由 平等 战(11.92)；墨子 兼爱 天志 明鬼(11.92)；庄子 自由 平等 齐物(11.92),1010_大同_小康_社会理想.md；0955_自由_平等_抗日.md；0956_九一八_自由_平等_战.md；1002_墨子_兼爱_天志_明鬼.md；1006_庄子_自由_平等_齐物.md,,平等、社会理想,认识世界和认识自己；马克思主义哲学中国化理论与历史；冯契文集第七卷中国近代哲学的革命进程,23；419；109,是,先核验原卡片再使用,先查主题页《中国近代启蒙与民主革命》，再在 T3/T10 中检索：兼爱|平等|社会理想,否
1010,大同 小康 社会理想,1010_大同_小康_社会理想.md,3,45.76,中国哲学传统,中国古代哲学概念与思想传统,中国哲学传统/中国古代哲学概念与思想传统.md,低,16.0,二级自动主题组匹配：大同、小康,兼爱 平等 社会理想(26.82)；大同 理想社会 毛泽东(16.25)；农业社会 德化 大同(14.17)；康有为 托古改制 大同(11.79),1009_兼爱_平等_社会理想.md；0621_大同_理想社会_毛泽东.md；1410_农业社会_德化_大同.md；0172_康有为_托古改制_大同.md,,大同、小康、社会理想,马克思主义哲学中国化理论与历史；中国近代哲学的革命进程；马克思主义哲学中国化与中国哲学的现代转型,581；99-103；73-75,是,先核验原卡片再使用,先查主题页《中国古代哲学概念与思想传统》，再在 T3/T10 中检索：大同|小康|社会理想,否
1011,洛斯基 直觉主义 唯心主义,1011_洛斯基_直觉主义_唯心主义.md,3,49.97,中国哲学传统,现代中国哲学人物与知识论,中国哲学传统/现代中国哲学人物与知识论.md,低,18.0,二级自动主题组匹配：洛斯基、直觉主义,唯心主义 唯物主义(29.09)；唯心主义 黑格尔(26.25)；唯心主义 马赫主义(26.25)；唯心主义 辩证法(26.25)；唯心主义 资产阶级(25.77),1721_唯心主义_唯物主义.md；1724_唯心主义_黑格尔.md；1728_唯心主义_马赫主义.md；1745_唯心主义_辩证法.md；1750_唯心主义_资产阶级.md,,洛斯基、直觉主义、唯心主义,米丁-辩证唯物论历史唯物论下-rightToLeft；米丁-辩证唯物论与历史唯物论-上-rightToLeft；冯契文集第七卷中国近代哲学的革命进程,364；49；372,是,先核验原卡片再使用,先查主题页《现代中国哲学人物与知识论》，再在 T3/T10 中检索：洛斯基|直觉主义|唯心主义,否
1012,弗兰克 神秘主义 本体论,1012_弗兰克_神秘主义_本体论.md,3,37.17,中国哲学传统,现代中国哲学人物与知识论,中国哲学传统/现代中国哲学人物与知识论.md,低,18.0,二级自动主题组匹配：弗兰克、神秘主义,实践 认识论 本体论(18.57)；本体论 思想方法论 根本问题(17.78),1074_实践_认识论_本体论.md；0417_本体论_思想方法论_根本问题.md,,弗兰克、神秘主义、本体论,新教伦理与资本主义精神（当代思想巨匠提序导读、综汇多版精要详注、姊妹篇全面收录、阎克文精修译本。） by 马克斯·韦伯 [马克斯·韦伯] (z-lib.org)；“新理学”批判的批判；马克思主义哲学中国化理论与历史,99；244；61,是,先核验原卡片再使用,先查主题页《现代中国哲学人物与知识论》，再在 T3/T10 中检索：弗兰克|神秘主义|本体论,否
1013,自然科学 哲学 机械论派,1013_自然科学_哲学_机械论派.md,3,50.19,苏联哲学,德波林派与机械论派论争,苏联哲学/德波林派与机械论派论争.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：机械论派；主题词重合：机械论派,机械论者 辩证论者 自然科学(28.93)；德国 自然科学(26.82)；新哲学 自然科学 经济学 应用(26.25)；机械论派 辩证论者 苏联哲学(26.25)；哲学 自然科学 科学本身就是哲学(26.25),1275_机械论者_辩证论者_自然科学.md；1786_德国_自然科学.md；0423_新哲学_自然科学_经济学_应用.md；0777_机械论派_辩证论者_苏联哲学.md；1276_哲学_自然科学_科学本身就是哲学.md,,自然科学、哲学、机械论派,马克思主义哲学史教程；苏联哲学70年；高清海先生对马克思主义哲学...理教科书的解构及其当代启示_何萍,378-379；21-25；8,是,可按主题页优先检索,先查主题页《德波林派与机械论派论争》，再在 T3/T10 中检索：自然科学|哲学|机械论派,否
1014,哲学理论 发展 人文化倾向,1014_哲学理论_发展_人文化倾向.md,3,44.6,理论方法,哲学基本范畴与辩证法原理,理论方法/哲学基本范畴与辩证法原理.md,低,12.0,自动主题组匹配：发展,苏联哲学 人文化倾向(34.62)；苏联哲学 人文化倾向 中国参考(32.35)；邓小平 哲学理论 当代形态(24.41)；哲学理论 政治实践 密切联系(24.17),0798_苏联哲学_人文化倾向.md；0820_苏联哲学_人文化倾向_中国参考.md；0656_邓小平_哲学理论_当代形态.md；1207_哲学理论_政治实践_密切联系.md,,哲学理论、发展、人文化倾向,苏联哲学70年；抗日战争与中国共产党哲学思想的形成和发展_李维武；中国马克思主义哲学教科书编写之起步、发展与演化（1922—1949）,192-194；3；2,是,先核验原卡片再使用,先查主题页《哲学基本范畴与辩证法原理》，再在 T3/T10 中检索：哲学理论|发展|人文化倾向,否
1015,哲学 学术性 政治性 张力,1015_哲学_学术性_政治性_张力.md,3,42.4,学科史,哲学教学与学术制度建设,学科史/哲学教学与学术制度建设.md,低,10.0,二级自动主题组匹配：哲学 学术性 政治性,文学 永久性 政治性(20.77)；文艺 永久性 政治性(20.77),0446_文学_永久性_政治性.md；0487_文艺_永久性_政治性.md,,哲学、学术性、政治性、张力,马克思主义哲学中国化与中国哲学的现代转型；“新哲学”大众化运动研究；马克思主义哲学中国化理论与历史,30-32；257；115,是,先核验原卡片再使用,先查主题页《哲学教学与学术制度建设》，再在 T3/T10 中检索：哲学|学术性|政治性|张力,否
1016,马克思主义哲学 在中国 百年历程,1016_马克思主义哲学_在中国_百年历程.md,3,71.4,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,马克思主义哲学 中国传播 百年历史(47.5)；马克思主义哲学 中国化 历程(47.5)；马克思主义哲学 中国哲学(46.67)；李达 马克思主义哲学 中国化(45.29)；马克思主义哲学 中国哲学 结合(45.29),0083_马克思主义哲学_中国传播_百年历史.md；1413_马克思主义哲学_中国化_历程.md；1823_马克思主义哲学_中国哲学.md；0301_李达_马克思主义哲学_中国化.md；0765_马克思主义哲学_中国哲学_结合.md,,马克思主义哲学、在中国、百年历程,马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学在中国的传播与马克思主义哲学中国化,未识别；3；5,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思主义哲学|在中国|百年历程,否
1017,马克思主义哲学 中国 社会实践,1017_马克思主义哲学_中国_社会实践.md,3,57.43,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,马克思主义哲学 中国哲学(50.38)；中国社会史 论战 马克思主义哲学(49.06)；李达 马克思主义哲学 中国化(48.33)；马克思主义哲学 中国哲学 结合(48.33)；马克思主义哲学 中国化 历程(48.33),1823_马克思主义哲学_中国哲学.md；0228_中国社会史_论战_马克思主义哲学.md；0301_李达_马克思主义哲学_中国化.md；0765_马克思主义哲学_中国哲学_结合.md；1413_马克思主义哲学_中国化_历程.md,,马克思主义哲学、中国、社会实践,马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学中国化与中国哲学的现代转型；当代中国马克思主义哲学大众化的基本原则与推进路径_尚庆飞,未识别；485-487；1,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思主义哲学|中国|社会实践,否
1018,马克思主义哲学 主流意识形态 中国,1018_马克思主义哲学_主流意识形态_中国.md,3,56.4,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,马克思主义哲学 中国哲学(45.94)；马克思主义哲学 中国传统哲学 形态(45.53)；李达 马克思主义哲学 中国化(44.72)；马克思主义哲学 中国哲学 结合(44.72)；教科书形态 马克思主义哲学(44.72),1823_马克思主义哲学_中国哲学.md；1797_马克思主义哲学_中国传统哲学_形态.md；0301_李达_马克思主义哲学_中国化.md；0765_马克思主义哲学_中国哲学_结合.md；0925_教科书形态_马克思主义哲学.md,,马克思主义哲学、主流意识形态、中国,马克思主义哲学在中国：传播、应用、形态、前景；延安时期知识分子群体与马克思主义哲学大众化郭 - 2015 -；中国马克思主义学术史纲,未识别；155；220-222,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思主义哲学|主流意识形态|中国,否
1019,马克思主义哲学 多领域 应用,1019_马克思主义哲学_多领域_应用.md,3,48.2,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,和平改造 马克思主义哲学 应用(55.94)；马克思主义哲学 传播 应用 形态 前景(54.72)；马克思主义哲学 中国哲学(45.71)；李达 马克思主义哲学 研究(45.0)；李达 马克思主义哲学 泰斗(45.0),1051_和平改造_马克思主义哲学_应用.md；0045_马克思主义哲学_传播_应用_形态_前景.md；1823_马克思主义哲学_中国哲学.md；0267_李达_马克思主义哲学_研究.md；0355_李达_马克思主义哲学_泰斗.md,,马克思主义哲学、多领域、应用,马克思主义哲学在中国：传播、应用、形态、前景；二十世纪上半叶马克思主义哲学中国化之检视_王玉平；马克思主义哲学中国化理论与历史,300-301；216；169,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思主义哲学|多领域|应用,否
1020,马克思主义哲学 新理论形态 形成,1020_马克思主义哲学_新理论形态_形成.md,3,38.13,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,教科书形态 马克思主义哲学(45.29)；马克思主义哲学 新民主主义革命(44.72)；冯友兰 新理学 马克思主义哲学(44.72)；马克思主义哲学 中国哲学(44.38)；苏联 教科书形态 马克思主义哲学(44.21),0925_教科书形态_马克思主义哲学.md；0634_马克思主义哲学_新民主主义革命.md；0763_冯友兰_新理学_马克思主义哲学.md；1823_马克思主义哲学_中国哲学.md；0824_苏联_教科书形态_马克思主义哲学.md,,马克思主义哲学、形成,马克思主义哲学史教程；马克思主义哲学中国化与中国哲学的现代转型；马克思主义哲学在中国：传播、应用、形态、前景,18-19；11；286-288,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：马克思主义哲学|新理论形态|形成,否
1021,中国马克思主义哲学 起点 先天不足,1021_中国马克思主义哲学_起点_先天不足.md,3,41.23,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,14.0,自动主题组匹配：马克思,中国马克思主义哲学 转换(52.5)；中国马克思主义哲学 中国之根 问题(50.53)；中国马克思主义哲学 教科书 建构(50.53)；中国马克思主义哲学 何以是中国的哲学(50.0)；中国马克思主义哲学 文化自信 灵魂(50.0),1819_中国马克思主义哲学_转换.md；0720_中国马克思主义哲学_中国之根_问题.md；0931_中国马克思主义哲学_教科书_建构.md；0724_中国马克思主义哲学_何以是中国的哲学.md；0753_中国马克思主义哲学_文化自信_灵魂.md,,中国马克思主义哲学、起点,高清海先生对马克思主义哲学...理教科书的解构及其当代启示_何萍；一本教科书、一个时代、一种...学原理教科书的再思考(上)_何萍；马克思主义哲学中国化研究的问题与视野_何萍,4；6；7,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：中国马克思主义哲学|起点|先天不足,否
1022,转述性介绍 到 大众化介绍,1022_转述性介绍_到_大众化介绍.md,1,49.45,新哲学大众化,新哲学大众化运动,新哲学大众化/新哲学大众化运动.md,低,10.0,自动主题组匹配：大众化,翻译性介绍 到 转述性介绍(35.42),0053_翻译性介绍_到_转述性介绍.md,,转述性介绍、大众化介绍,"马克思主义哲学在中国：传播 应用 形态 前景 (徐素华著, 徐素华著, 徐素华, 徐素華)",19,是,先核验原卡片再使用,先查主题页《新哲学大众化运动》，再在 T3/T10 中检索：转述性介绍|大众化介绍,否
1023,马克思主义哲学 民族形式 民族风格,1023_马克思主义哲学_民族形式_民族风格.md,3,53.99,中国哲学传统,中国作风中国气派与马克思主义哲学,中国哲学传统/中国作风中国气派与马克思主义哲学.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：民族形式；主题词重合：民族形式,民族形式 马克思主义哲学(71.07)；中国化 民族形式 马克思主义哲学(68.24)；马克思主义哲学 民族化 世界历史性质(45.0)；马克思主义哲学 传播形式 转换(44.72)；马克思主义哲学 中国哲学(44.38),1438_民族形式_马克思主义哲学.md；1336_中国化_民族形式_马克思主义哲学.md；1084_马克思主义哲学_民族化_世界历史性质.md；0052_马克思主义哲学_传播形式_转换.md；1823_马克思主义哲学_中国哲学.md,,马克思主义哲学、民族形式、民族风格,马克思主义中国化研究的历史、现状与方法论_郭建宁；马克思主义哲学中国化理论与历史；马克思主义哲学在中国：传播、应用、形态、前景,5；482；3,是,可按主题页优先检索,先查主题页《中国作风中国气派与马克思主义哲学》，再在 T3/T10 中检索：马克思主义哲学|民族形式|民族风格,否
1024,职业哲学家 理论学术性 理性精神,1024_职业哲学家_理论学术性_理性精神.md,1,27.8,学科史,哲学教学与学术制度建设,学科史/哲学教学与学术制度建设.md,中,30.0,二级自动主题组匹配：职业哲学家、理论学术性、理性精神,职业革命家 职业哲学家 传播载体(29.76),0055_职业革命家_职业哲学家_传播载体.md,,职业哲学家、理论学术性、理性精神,马克思主义哲学在中国：传播、应用、形态、前景,3,是,可按主题页优先检索,先查主题页《哲学教学与学术制度建设》，再在 T3/T10 中检索：职业哲学家|理论学术性|理性精神,否
1025,救亡图存 马克思主义哲学 需要,1025_救亡图存_马克思主义哲学_需要.md,3,55.3,理论方法,马克思恩格斯经典文本与哲学关系,理论方法/马克思恩格斯经典文本与哲学关系.md,低,10.0,自动主题组匹配：马克思,马克思主义哲学 中国哲学(45.0)；李达 马克思主义哲学 研究(44.38)；李达 马克思主义哲学 泰斗(44.38)；马克思主义哲学 传播 苏联(44.38)；马克思主义哲学 前景 展望(44.38),1823_马克思主义哲学_中国哲学.md；0267_李达_马克思主义哲学_研究.md；0355_李达_马克思主义哲学_泰斗.md；0785_马克思主义哲学_传播_苏联.md；1066_马克思主义哲学_前景_展望.md,,救亡图存、马克思主义哲学、需要,马克思主义哲学在中国：传播、应用、形态、前景；二十世纪上半叶马克思主义哲学中国化之检视_王玉平；马克思主义哲学中国化_问题与进路_孙伟平,41-43；40；4,是,先核验原卡片再使用,先查主题页《马克思恩格斯经典文本与哲学关系》，再在 T3/T10 中检索：救亡图存|马克思主义哲学|需要,否
1026,唯物辩证法 风靡全国,1026_唯物辩证法_风靡全国.md,3,48.02,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：唯物辩证法；主题词重合：唯物辩证法,唯物辩证法 风靡 起点(40.0)；唯物辩证法 风靡 前奏(40.0)；唯物辩证法 风靡 原因(40.0)；唯物辩证法 风靡 主要内容(37.5)；逐步改造 唯物辩证法(33.33),1027_唯物辩证法_风靡_起点.md；1028_唯物辩证法_风靡_前奏.md；1030_唯物辩证法_风靡_原因.md；1029_唯物辩证法_风靡_主要内容.md；1052_逐步改造_唯物辩证法.md,,唯物辩证法、风靡全国,“新哲学”大众化运动研究；中国文化与马克思主义；马克思主义哲学在中国：传播、应用、形态、前景,101；320；95-97,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯物辩证法|风靡全国,否
1027,唯物辩证法 风靡 起点,1027_唯物辩证法_风靡_起点.md,3,43.6,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：唯物辩证法；主题词重合：唯物辩证法,唯物辩证法 风靡 前奏(50.0)；唯物辩证法 风靡 原因(50.0)；唯物辩证法 风靡 主要内容(47.5)；唯物史观 起点 唯物辩证法 扩展(43.93)；唯物辩证法 风靡全国(40.0),1028_唯物辩证法_风靡_前奏.md；1030_唯物辩证法_风靡_原因.md；1029_唯物辩证法_风靡_主要内容.md；0004_唯物史观_起点_唯物辩证法_扩展.md；1026_唯物辩证法_风靡全国.md,,唯物辩证法、风靡、起点,马克思主义哲学在中国：传播、应用、形态、前景；“新哲学”大众化运动研究；马克思主义哲学在中国的传播与马克思主义哲学中国化,85；101；12,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯物辩证法|风靡|起点,否
1028,唯物辩证法 风靡 前奏,1028_唯物辩证法_风靡_前奏.md,3,47.2,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：唯物辩证法；主题词重合：唯物辩证法,唯物辩证法 风靡 起点(50.0)；唯物辩证法 风靡 原因(50.0)；唯物辩证法 风靡 主要内容(47.5)；唯物辩证法 风靡全国(40.0)；逐步改造 唯物辩证法(33.33),1027_唯物辩证法_风靡_起点.md；1030_唯物辩证法_风靡_原因.md；1029_唯物辩证法_风靡_主要内容.md；1026_唯物辩证法_风靡全国.md；1052_逐步改造_唯物辩证法.md,,唯物辩证法、风靡、前奏,马克思主义哲学在中国：传播、应用、形态、前景；“新哲学”大众化运动研究；马克思主义哲学在中国的传播与马克思主义哲学中国化,95-97；101；12,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯物辩证法|风靡|前奏,否
1029,唯物辩证法 风靡 主要内容,1029_唯物辩证法_风靡_主要内容.md,3,39.86,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：唯物辩证法；主题词重合：唯物辩证法,唯物辩证法 风靡 起点(47.5)；唯物辩证法 风靡 前奏(47.5)；唯物辩证法 风靡 原因(47.5)；唯物辩证法 风靡全国(37.5)；逐步改造 唯物辩证法(32.14),1027_唯物辩证法_风靡_起点.md；1028_唯物辩证法_风靡_前奏.md；1030_唯物辩证法_风靡_原因.md；1026_唯物辩证法_风靡全国.md；1052_逐步改造_唯物辩证法.md,,唯物辩证法、风靡、主要内容,马克思主义哲学在中国：传播、应用、形态、前景；“新哲学”大众化运动研究；20世纪30年代~40年代马克思主义哲学与中国传统哲学结合的形态_李维武,108-109；258；6,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯物辩证法|风靡|主要内容,否
1030,唯物辩证法 风靡 原因,1030_唯物辩证法_风靡_原因.md,3,43.6,理论方法,辩证唯物主义体系,理论方法/辩证唯物主义体系.md,高,112.0,已列入原主题页重点卡片；命中主题种子词：唯物辩证法；主题词重合：唯物辩证法,唯物辩证法 风靡 起点(50.0)；唯物辩证法 风靡 前奏(50.0)；唯物辩证法 风靡 主要内容(47.5)；唯物辩证法 风靡全国(40.0)；逐步改造 唯物辩证法(33.33),1027_唯物辩证法_风靡_起点.md；1028_唯物辩证法_风靡_前奏.md；1029_唯物辩证法_风靡_主要内容.md；1026_唯物辩证法_风靡全国.md；1052_逐步改造_唯物辩证法.md,,唯物辩证法、风靡、原因,马克思主义哲学在中国：传播、应用、形态、前景；马克思主义哲学中国化与中国哲学的现代转型；从唯物辩证法论战到马克思主义哲学大众化——对艾思奇《大众哲学》的解读_李维武,85；429-431；2,是,可按主题页优先检索,先查主题页《辩证唯物主义体系》，再在 T3/T10 中检索：唯物辩证法|风靡|原因,否
1031,哲学大论战 国际背景 国内根源,1031_哲学大论战_国际背景_国内根源.md,1,35.8,论战与思想运动,思想论战与文化批判,论战与思想运动/思想论战与文化批判.md,低,10.0,自动主题组匹配：论战,哲学大论战 基本态势 特点(30.56),1032_哲学大论战_基本态势_特点.md,,哲学大论战、国际背景、国内根源,马克思主义哲学在中国：传播、应用、形态、前景,113-116,是,先核验原卡片再使用,先查主题页《思想论战与文化批判》，再在 T3/T10 中检索：哲学大论战|国际背景|国内根源,否
